codigo_dpa,nombre_parroquia,nombre_canton,nombre_provincia,centroide_lon,centroide_lat,area_km2
0385,BUENAVISTA,CHAGUARPAMBA,LOJA,-79.71545714577586,-3.897907852448401,44.37
1180,EL ROSARIO,CHAGUARPAMBA,LOJA,-79.63659021282743,-3.8016669414558795,91.66
3755,SANTA RUFINA,CHAGUARPAMBA,LOJA,-79.76309285051761,-3.868748177917272,54.35
1450,AMARILLOS,CHAGUARPAMBA,LOJA,-79.68775348296487,-3.8836657015983898,21.63
0320,BELLAVISTA,ESPINDOLA,LOJA,-79.46192008750695,-4.52322354042269,77.09
1845,JIMBURA,ESPINDOLA,LOJA,-79.44373285145541,-4.654484527402167,97.09
3765,SANTA TERESITA,ESPINDOLA,LOJA,-79.37760559791725,-4.53232580015493,77.02
4460,27 DE ABRIL / LA NARANJA,ESPINDOLA,LOJA,-79.4507682291086,-4.450166823947824,41.32
0790,EL INGENIO,ESPINDOLA,LOJA,-79.37532459159118,-4.443943164427963,72.65
1645,EL AIRO,ESPINDOLA,LOJA,-79.37541696875572,-4.47864012494542,28.05
0825,CHANGAIMNA / LA LIBERTAD,GONZANAMA,LOJA,-79.53305831719435,-4.224116264671223,103.97
2520,NAMBACOLA,GONZANAMA,LOJA,-79.4333086291843,-4.097345922323232,297.52
3045,PURUNUMA / EGUIGUREN,GONZANAMA,LOJA,-79.36256010755861,-4.218288198331153,97.15
3270,SACAPALCA,GONZANAMA,LOJA,-79.53057596413501,-4.148268825321086,111.08
2085,LA RAMA,MACARA,LOJA,-79.9002457545654,-4.251727405603649,89.68
2145,LA VICTORIA,MACARA,LOJA,-79.7969743482379,-4.452811248677653,68.88
3265,SABIANGO,MACARA,LOJA,-79.82592712829043,-4.361188055134722,45.06
0485,CANGONAMA,PALTAS,LOJA,-79.72028972057326,-3.9516929877332996,47.96
1380,GUACHANAMA,PALTAS,LOJA,-79.86248589778167,-4.039856405643529,279.37
